backtest_date,model,series_index,series_name,window,base_date,retrained,forecast_start,forecast_end,mape,ape,actual_values,forecast_values,model_hyperparameters
20250322_1741,AutoARIMA,61,series_00008,3,2019-01-01,True,2019-02-01,2019-04-01,0.224229,[0.176581 0.274572 0.221536],"[130.8035888671875, 142.6942138671875, 132.97259521484375]","[107.70618308270622, 103.51443809573657, 103.51443809573657]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,61,series_00008,4,2019-02-01,True,2019-03-01,2019-05-01,0.162115,[0.277702 0.194422 0.014219],"[142.6942138671875, 132.97259521484375, 108.66486358642578]","[103.06769007518132, 107.11973629232658, 107.11973629232658]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,61,series_00008,5,2019-03-01,True,2019-04-01,2019-06-01,0.099136,[0.202464 0.064562 0.030383],"[132.97259521484375, 108.66486358642578, 119.3052749633789]","[106.05049494596433, 115.68047861451684, 115.68047861451684]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,66,series_00031,0,2018-10-01,True,2018-11-01,2019-01-01,0.372632,[0.715466 0.167842 0.234589],"[100.0, 206.1466064453125, 224.12342834472656]","[171.54657102861134, 171.54657102861134, 171.54657102861134]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,66,series_00031,1,2018-11-01,True,2018-12-01,2019-02-01,0.320436,[0.139867 0.208858 0.612584],"[206.1466064453125, 224.12342834472656, 109.95612335205078]","[177.3134978160309, 177.3134978160309, 177.3134978160309]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,66,series_00031,2,2018-12-01,True,2019-01-01,2019-03-01,0.288981,[0.34528  0.334515 0.187147],"[224.12342834472656, 109.95612335205078, 123.6056900024414]","[146.7381190365549, 146.7381190365549, 146.7381190365549]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,66,series_00031,3,2019-01-01,True,2019-02-01,2019-04-01,0.394181,[0.548019 0.377074 0.25745 ],"[109.95612335205078, 123.6056900024414, 135.364501953125]","[170.21414074408847, 170.21414074408847, 170.21414074408847]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,66,series_00031,4,2019-02-01,True,2019-03-01,2019-05-01,0.418645,[0.548425 0.413917 0.293592],"[123.6056900024414, 135.364501953125, 147.95562744140625]","[191.39420184095644, 191.39420184095644, 191.39420184095644]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,66,series_00031,5,2019-03-01,True,2019-04-01,2019-06-01,0.139014,[0.178271 0.077999 0.160773],"[135.364501953125, 147.95562744140625, 190.05108642578125]","[159.4960630985276, 159.4960630985276, 159.4960630985276]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,243,series_00250,0,2018-10-01,True,2018-11-01,2019-01-01,0.56321,[0.10037  1.313944 0.275315],"[541.8925170898438, 214.5341339111328, 697.3199462890625]","[487.5029844973384, 496.4200653591628, 505.33714622098717]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
20250322_1741,AutoARIMA,243,series_00250,1,2018-11-01,True,2018-12-01,2019-02-01,0.572864,[1.250291 0.294412 0.173888],"[214.5341339111328, 697.3199462890625, 606.7904663085938]","[482.7643242125629, 492.02060403950304, 501.27688386644326]","{'season_length': 12, 'start_p': 1, 'start_q': 1, 'stepwise': True, 'max_order': 20, 'seasonal': True}"
